objectid,title,date,format,arastirmaci,eser_adi,sayfa_no,padisah_donemi,muellif_adi,muellif_olum_tarihi,mustensih_adi,telif_tarih_hicri,telif_basim,telif_tarih_miladi,istinsah_tarihi,eser_dili,eser_alt_turu,yazin_turu,yazi_turu,baglanti_turu,baglantili_eser_adi,baglantili_eser_yazari,baglantili_eser_tarihi,baglantili_eser_dili,cilt_sayisi,yazildigi_yer,kutupane_koleksiyon,alt_koleksiyon_numara,su_anda_kutupane,latitude,longitude,ulke,sehir,takdim_hediye,tarihsel_kapsam,tematik_kapsam,notlar,arastirmaci_notu
babinger_0011,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,Stokholm Kraliyet Kütüphanesi,Nu. 62,,59.3381358369098,18.072031001596,İsveç,Stokholm,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0012,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,Uppsala Üniversitesi Kütüphanesi,Nu. 188,,59.8552226554285,17.6314371362395,İsveç,Uppsala,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0013,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,Uppsala Üniversitesi Kütüphanesi,Nu. 189,,59.8552226554285,17.6314371362395,İsveç,Uppsala,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0014,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,Petersburg Umumi Kütüphanesi,Nu. 565,,59.9334029974936,30.3352102785678,Rusya,St. Petersburg,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0015,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,Petersburg Umumi Kütüphanesi,Nu. 566,,59.9334029974936,30.3352102785678,Rusya,St. Petersburg,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0016,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,Roma Vatikan Kütüphanesi,Nu. 58,,41.9048839898964,12.4549978153433,İtalya,Roma,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0017,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,"Venedik, Codex Nani,",Nu. XL,,45.4335493764096,12.339401298149,İtalya,Venedik,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0018,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,Cambridge Üniversite Kütüphanesi,Add. 3542,,52.2052468752737,0.1077233,İngiltere,Cambridge,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0019,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,British Museum,Harl. 3273,,51.5195338599772,-0.126938820491652,İngiltere,Londra,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0020,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,British Museum,Add. 7980,,51.5195338599772,-0.126938820491652,İngiltere,Londra,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0021,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,British Museum,or. 7234,,51.5195338599772,-0.126938820491652,İngiltere,Londra,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0022,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,Laleli,Nu. 1995 (?),Süleymaniye,41.0161522086512,28.9639603676263,Türkiye,İstanbul,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0023,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,Abdullah Efendi,Nu. 240 (?),Süleymaniye,41.0161522086512,28.9639603676263,Türkiye,İstanbul,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0024,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,Umumiyye,Nu. 5030 (?),Beyazıt,41.0112288381767,28.9655158313884,Türkiye,İstanbul,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0025,Ahmedî,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,Mehmediyye,Nu. 4186 (?),Süleymaniye,41.0161522086512,28.9639603676263,Türkiye,İstanbul,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,
babinger_0026,Hamzavî,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,Berlin Devlet Kütüphanesi,Nu. 476,,52.5077560047923,13.3708612239915,Almanya,Berlin,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,
babinger_0027,Hamzavî,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,Berlin Devlet Kütüphanesi,Nu. 477,,52.5077560047923,13.3708612239915,Almanya,Berlin,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,
babinger_0028,Hamzavî,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,Berlin Devlet Kütüphanesi,Nu. 478,,52.5077560047923,13.3708612239915,Almanya,Berlin,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,
babinger_0029,Hamzavî,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,Gotha Kütüphanesi,Nu. 254,,50.9478847109003,10.7093788460301,Almanya,Gotha,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,
babinger_0030,Hamzavî,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,Gotha Kütüphanesi,Nu. 255,,50.9478847109003,10.7093788460301,Almanya,Gotha,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,
babinger_0031,Hamzavî,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,Gotha Kütüphanesi,Nu. 256,,50.9478847109003,10.7093788460301,Almanya,Gotha,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,
babinger_0032,Hamzavî,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,Gotha Kütüphanesi,Nu. 257,,50.9478847109003,10.7093788460301,Almanya,Gotha,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,
babinger_0033,Hamzavî,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,Leipzig Belediye Kütüphanesi,Nu. 280,,51.3342046470006,12.3747494423283,Almanya,Leipzig,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,
babinger_0034,Hamzavî,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,Viyana Milli Kütüphanesi,Nu. 799,,48.2063824539942,16.3669274865075,Avusturya,Viyana,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,
babinger_0035,Hamzavî,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,"Floransa, Med. Laur. Küt.",Nu. 248,,43.7747763692041,11.2546200711641,İtalya,Floransa,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,
babinger_0036,Hamzavî,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,Roma Casanatense Kütüphanesi,Nu. 4,,41.8988476150099,12.4794832865075,İtalya,Roma,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,
babinger_0037,Hamzavî,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,Paris Milli Kütüphanesi,or. 321,,48.8339332273818,2.37579298412067,Fransa,Paris,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,
babinger_0038,Hamzavî,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,Paris Milli Kütüphanesi,or. 343,,48.8339332273818,2.37579298412067,Fransa,Paris,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,
babinger_0039,Hamzavî,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,Paris Milli Kütüphanesi,or. 344,,48.8339332273818,2.37579298412067,Fransa,Paris,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,
babinger_0040,Hamzavî,,record,Ahmed Said Sözen,Câmi ül-meknûnât,14-15,,Hamzavî,1413,,,,,,,,,,,,,,,,,,,,,,,,,,Kafiyeli bir Osmanlı tarihidir. Bayezid'in son zamanlarına ait olayları içermektedir.,,
babinger_0041,Ahmedî Dâ'î,,record,Ahmed Said Sözen,Çenknâme,15-16,,Ahmedî Dâ'î,1412,,,,,,,,,,,,,,,,,,,,,,,,,,Kendisi ile kardeşleri arasında geçen kavgalarını şairane bir şekilde anlatmıştır.,Nüshaları Babinger'e göre kayıptır.,
babinger_0042,Ahmedî Dâ'î,,record,Ahmed Said Sözen,Ferahnâme,15-16,,Ahmedî Dâ'î,1412,,,,,,,,,,,,,,,,,,,,,,,,,,,Nüshaları Babinger'e göre kayıptır. Nüshaları bulunamamıştır.,
babinger_0043,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,1431,record,Ahmed Said Sözen,Dürer fi'l-havâdis ve'l-siyer (vefayât alâ tertib el-a'vâm),18-20,II. Murad,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,1454,,835,835 (1431),1431,,Arapça,,,,,,,,,,,Leiden Üniversitesi Kütüphanesi,Nu. 769 (Dürer fi'lhavâdis),,52.1574103133869,4.481427,Hollanda,Leiden,,Hz. Peygamber sav'den-700 (1300)'e kadar,Hz. Peygamber (sav)'den 1300'lere kadar yaşamış olan kişiler anlatılmaktadır.,,
babinger_0044,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,1436,record,Ahmed Said Sözen,Adsız Biyografya Eseri,18-20,,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,1454,,840,840 (1436),1436,,Arapça,,,,,,,,,,,Gotha Kütüphanesi,Nu. 1738 (Biyografya),,50.9478847109003,10.7093788460301,Almanya,Gotha,,,Alimlerin biyografileri. Taberî ve Cevherî'nin Biyografileri ile nihayet bulmuştur.,,
babinger_0045,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,1435,record,Ahmed Said Sözen,Tavzîhu Menâhici’l-Envâr ve Tenkîhu Mebâhici’l-Ezhâr,18-20,,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,1454,,839,839 (1435),1435,,Arapça,,,,,,,,,,,British Museum,suppl. 481 (Tavzih),,51.5195338599772,-0.126938820491652,İngiltere,Londra,,,Harflerin noktalarına göre muhtelif manalar alan kelimelerden bahsetmektedir.,,Bu esere ilişkin ikincil kaynaklarda bilgi bulunmamaktadır
babinger_0046,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,,record,Ahmed Said Sözen,Nazmü’s-sülûk,18-20,,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,1454,,,,,,Arapça,,,,,,,,,,,Ayasofya,Nu. 3503 (Nazm elsülûk),Süleymaniye,41.0161522086512,28.9639603676263,Türkiye,İstanbul,,Hz. Peygamber (sav)'den-806 (1403)'e kadar,Özet bir tarihi eser,,
babinger_0047,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,1432,record,Ahmed Said Sözen,el-tevârîh el-latîfe ve’l-âsâr el-acîbe,18-20,,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,1454,,836,826 (1432),1432,,Arapça,,,,,,,,,,,,,,,,,,,,,,
babinger_0048,Mehmed Emîn İbn Hâccî Halîl,,record,Ahmed Said Sözen,Târîh-i Âl-i Osman,20,II. Mehmed,Mehmed Emîn İbn Hâccî Halîl,,,,,,,Farsça,,,,,,,,,,,,,,,,Fransa,Paris,,II. Mehmed'in emri ile başlamış ancak II. Bayezid döneminde bitirmiş olduğu tarih eseridir.,Osmanlı hanedanın tarihi. Öncesinde Rum Selçuklularından kısaca bahsetmektedir.,,
babinger_0049,Şükrullâh b. Şıhabeddîn Ahmed,1457,record,Ahmed Said Sözen,Behçetül-tevârîh,20-22,,Şükrullâh b. Şıhabeddîn Ahmed,1488,,861,861 (1457),1457,,,,,,,,,,,,,Viyana Milli Kütüphanesi,Nu. 828,,48.2063824539942,16.3669274865075,Avusturya,Viyana,,,Mücmel dünya tarihidir. 13 bölümden oluşan eseri 8.bölümünde Fatih Sultan Mehmed'in tahta çıkmasına kadar olan Osmanlı tarihinden bahsedilmektedir.,Günümüzde kaybolmuş durumda olan coğrafi eserlerden de bahsettiği için coğrafya bakımından da değerli olduğu kabul edilmektedir.,
babinger_0050,Şükrullâh b. Şıhabeddîn Ahmed,1457,record,Ahmed Said Sözen,Behçetül-tevârîh,20-22,,Şükrullâh b. Şıhabeddîn Ahmed,1488,,861,861 (1457),1457,,,,,,,,,,,,,British Museum,Nu. or. 1627,,51.5195338599772,-0.126938820491652,İngiltere,Londra,,,Mücmel dünya tarihidir. 13 bölümden oluşan eseri 8.bölümünde Fatih Sultan Mehmed'in tahta çıkmasına kadar olan Osmanlı tarihinden bahsedilmektedir.,Günümüzde kaybolmuş durumda olan coğrafi eserlerden de bahsettiği için coğrafya bakımından da değerli olduğu kabul edilmektedir.,
babinger_0051,Şükrullâh b. Şıhabeddîn Ahmed,1457,record,Ahmed Said Sözen,Behçetül-tevârîh,20-22,,Şükrullâh b. Şıhabeddîn Ahmed,1488,,861,861 (1457),1457,,,,,,,,,,,,,Paris Milli Kütüphanesi,Nu. 90,,48.8339332273818,2.37579298412067,Fransa,Paris,,,Mücmel dünya tarihidir. 13 bölümden oluşan eseri 8.bölümünde Fatih Sultan Mehmed'in tahta çıkmasına kadar olan Osmanlı tarihinden bahsedilmektedir.,Günümüzde kaybolmuş durumda olan coğrafi eserlerden de bahsettiği için coğrafya bakımından da değerli olduğu kabul edilmektedir.,
babinger_0052,Şükrullâh b. Şıhabeddîn Ahmed,1457,record,Ahmed Said Sözen,Behçetül-tevârîh,20-22,,Şükrullâh b. Şıhabeddîn Ahmed,1488,,861,861 (1457),1457,,,,,,,,,,,,,Paris Milli Kütüphanesi,Nu. 91,,48.8339332273818,2.37579298412067,Fransa,Paris,,,Mücmel dünya tarihidir. 13 bölümden oluşan eseri 8.bölümünde Fatih Sultan Mehmed'in tahta çıkmasına kadar olan Osmanlı tarihinden bahsedilmektedir.,Günümüzde kaybolmuş durumda olan coğrafi eserlerden de bahsettiği için coğrafya bakımından da değerli olduğu kabul edilmektedir.,
babinger_0053,Şükrullâh b. Şıhabeddîn Ahmed,1457,record,Ahmed Said Sözen,Behçetül-tevârîh,20-22,,Şükrullâh b. Şıhabeddîn Ahmed,1488,,861,861 (1457),1457,,,,,,,,,,,,,Paris Milli Kütüphanesi,Schefer 161,,48.8339332273818,2.37579298412067,Fransa,Paris,,,Mücmel dünya tarihidir. 13 bölümden oluşan eseri 8.bölümünde Fatih Sultan Mehmed'in tahta çıkmasına kadar olan Osmanlı tarihinden bahsedilmektedir.,Günümüzde kaybolmuş durumda olan coğrafi eserlerden de bahsettiği için coğrafya bakımından da değerli olduğu kabul edilmektedir.,
babinger_0054,Şükrullâh b. Şıhabeddîn Ahmed,1457,record,Ahmed Said Sözen,Behçetül-tevârîh,20-22,,Şükrullâh b. Şıhabeddîn Ahmed,1488,,861,861 (1457),1457,,,,,,,,,,,,,Paris Milli Kütüphanesi,Schefer 190,,48.8339332273818,2.37579298412067,Fransa,Paris,,,Mücmel dünya tarihidir. 13 bölümden oluşan eseri 8.bölümünde Fatih Sultan Mehmed'in tahta çıkmasına kadar olan Osmanlı tarihinden bahsedilmektedir.,Günümüzde kaybolmuş durumda olan coğrafi eserlerden de bahsettiği için coğrafya bakımından da değerli olduğu kabul edilmektedir.,
